

Values of Profile Profile Of Gold.4s
0.000	1244.727
0.037	1146.658
0.074	1064.100
0.111	1051.132
0.148	1111.393
0.185	1225.561
0.222	1309.404
0.260	1286.147
0.297	1179.073
0.334	1108.593
0.371	1148.760
0.408	1278.396
0.445	1396.552
0.482	1421.337
0.519	1319.873
0.556	1167.082
0.593	1126.862
0.630	1204.452
0.667	1348.755
0.704	1467.671
0.741	1445.944
0.779	1294.135
0.816	1169.892
0.853	1187.388
0.890	1300.074
0.927	1430.156
0.964	1485.878
1.001	1392.311
1.038	1248.885
1.075	1191.525
1.112	1237.017
1.149	1401.335
1.186	1563.184
1.223	1577.600
1.261	1444.881
1.298	1300.514
1.335	1291.581
1.372	1408.769
1.409	1560.501
1.446	1652.349
1.483	1571.256
1.520	1403.053
1.557	1308.077
1.594	1350.973
1.631	1487.471
1.668	1647.936
1.705	1693.226
1.743	1552.211
1.780	1375.290
1.817	1312.005
1.854	1378.306
1.891	1528.037
1.928	1667.238
1.965	1628.287
2.002	1459.134
2.039	1359.545
2.076	1375.916
2.113	1435.192
2.150	1551.291
2.187	1642.718
2.224	1568.942
2.262	1452.675
2.299	1409.496
2.336	1422.831
2.373	1470.936
2.410	1549.354
2.447	1540.114
2.484	1418.714
2.521	1331.726
2.558	1345.245
2.595	1413.409
2.632	1505.797
2.669	1575.357
2.706	1529.206
2.744	1396.059
2.781	1349.788
